finding_id,decision,source_ids,evidence_summary,recorded_at
F001,Use PHP XMLReader for streaming WXR parsing,"S001,S006",WP core's importer uses XMLReader for large files; WXR exports >100MB common; SimpleXML/DOM eager loading exceeds memory bounds for medium-large sites,2026-05-14
F002,Support WXR versions 1.0/1.1/1.2,S001,WXR has been stable since WP 3.0 (2010 v1.2); real-world exports overwhelmingly v1.2; older versions appear in legacy archives,2026-05-14
F003,Default to skip-with-warning recovery; --strict opt-in,"S001,S006",WP exports from plugin-heavy sites have malformed entries with surprising frequency (broken oEmbeds, truncated serialized PHP); operator preference is finish-with-summary,2026-05-14
F004,Five source plugins matching WXR sectioning,"S001,S003,S005",WXR's natural grouping (wp:author / wp:term / item-with-post_type discriminator) maps 1:1 with M-002's per-source model; aligns with Drupal contrib's structure,2026-05-14
F005,Single PostSource with downstream post_type filter (no per-CPT plugins),"S001,S003",CPT proliferation (sites with 20+ CPTs) would force combinatorial source plugin explosion; M-002 process maps already support per-record filtering,2026-05-14
F006,Idempotent media copy via target-existence + size check,S003,M-002 substrate's id-map only deduplicates entity records; media files live outside its purview so the source plugin owns idempotency,2026-05-14
F007,Default oEmbed resolution to opt-in (resolve_remote: false),"S001,prior-experience",Network calls during migration slow imports / surprise air-gapped operators / leak migration-time IPs; expanded metadata is a polish-pass concern,2026-05-14
F008,Discard WP password hashes; force first-login reset,"prior-experience,S004",WP bcrypt with WP-specific cost differs from typical Waaseyaa configs; partial state without session salts is incomplete; clean-slate reset avoids unpredictable issues,2026-05-14
F009,Reuse M-002 LookupProcessor for cross-migration ID resolution,S003,M-002 substrate FR-027..FR-035 explicitly provides this primitive; no need to reimplement,2026-05-14
F010,Standalone repo (NOT in framework monorepo),"S004,S009",ADR 012a names the package as separate; alpha.178 incident showed monorepo split-fan-out friction; clear ownership and independent release cadence beat unified versioning,2026-05-14
F011,Independent semver versioning with framework compat range,S004,Coupled versions punish both surfaces; Composer's caret-range mechanism handles compat declaration cleanly,2026-05-14
F012,Ship wp_posts_to_articles as documented example (not template),S005,Working examples are more usable than abstract templates; consumers without an articles entity rename the migration; consumers with one get a working default,2026-05-14
F013,Preserve raw comment_parent (no flattening),S003,Lossy migration transforms are hard to debug post-hoc; preserving the field lets consumers reconstruct threading if their engagement entity supports it,2026-05-14
F014,Treat unknown WXR namespaces as opaque pass-through (_extra field),"S001,S005",WooCommerce/Yoast/etc inject custom XML namespaces; failing on unknown elements would block real-world exports; opaque preservation lets consumers extract via custom process plugins,2026-05-14
